This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   796714
Number of nonzeros in inequality constraint Jacobian.:     9182
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2571
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      636
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2430
Total number of inequality constraints...............:      751
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      751

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  77  2.5528202e+00 1.19e-01 2.45e+01  -2.5 1.13e+00    -  1.00e+00 6.17e-01h  1
  78  2.5454744e+00 5.65e-02 1.27e+01  -4.0 1.12e+00    -  6.90e-01 5.15e-01h  1
  79  2.5244099e+00 2.99e-02 1.17e+01  -3.1 9.30e-01    -  1.00e+00 4.53e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.4862391e+00 2.60e-02 1.17e+01  -3.5 1.11e+00    -  7.84e-01 6.85e-01h  1
  81  2.4717186e+00 3.31e-02 1.95e+01  -2.9 4.42e+00    -  4.91e-01 1.82e-01h  1
  82  2.3667075e+00 1.74e-01 4.30e+01  -3.9 1.99e+01    -  1.35e-01 1.35e-01h  1
  83  2.3369482e+00 1.71e-01 4.84e+01  -4.0 1.17e+01    -  1.15e-01 3.66e-02h  1
  84  2.4094597e+00 9.82e-01 1.00e+02  -2.3 2.55e+01    -  2.37e-01 2.67e-01f  1
  85  1.9028377e+00 6.11e-01 1.12e+02  -2.9 7.38e+00    -  4.48e-01 6.52e-01h  1
  86  1.7332161e+00 2.33e-01 6.05e+01  -3.1 2.43e+00    -  5.61e-01 6.39e-01h  1
  87  1.7289428e+00 1.76e-01 4.52e+01  -2.6 2.99e+00    -  8.46e-01 2.88e-01h  1
  88  1.8303569e+00 3.46e-01 2.35e+01  -2.4 3.57e+00    -  3.28e-01 7.03e-01h  1
  89  1.6644734e+00 3.37e-01 1.66e+01  -2.6 4.30e+00    -  2.93e-01 6.85e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.5485139e+00 2.71e-01 2.09e+01  -2.6 6.71e+00    -  5.84e-01 4.84e-01h  1
