This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37797
Number of nonzeros in inequality constraint Jacobian.:     5100
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      607
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      528
                     variables with only upper bounds:        0
Total number of equality constraints.................:      476
Total number of inequality constraints...............:      420
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      420

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 156  6.1111499e-03 1.08e-04 1.30e-01  -4.0 8.24e-03    -  1.00e+00 1.00e+00h  1
 157  5.9779604e-03 1.17e-04 1.00e-01  -4.1 5.07e-03    -  1.00e+00 1.00e+00h  1
 158  6.0824448e-03 1.69e-04 3.97e-02  -4.0 4.44e-03    -  1.00e+00 1.00e+00h  1
 159  6.0851706e-03 4.93e-05 6.53e-02  -4.0 8.63e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  5.9492886e-03 7.35e-04 2.38e-01  -4.1 2.77e-02    -  1.00e+00 1.00e+00h  1
 161  5.9928691e-03 1.72e-04 2.42e-01  -4.0 1.38e-02    -  1.00e+00 1.00e+00h  1
 162  5.9081835e-03 2.93e-04 7.54e-02  -4.1 1.11e-02    -  1.00e+00 1.00e+00h  1
 163  6.0079682e-03 4.27e-04 5.93e-02  -4.0 1.08e-02    -  1.00e+00 1.00e+00h  1
 164  5.8698247e-03 1.23e-04 4.51e-02  -4.1 1.19e-02    -  1.00e+00 1.00e+00h  1
 165  5.9848842e-03 3.31e-04 2.17e-01  -4.0 2.82e-02    -  1.00e+00 1.00e+00h  1
 166  5.8667559e-03 3.35e-04 3.06e-01  -4.1 4.80e-02    -  1.00e+00 5.00e-01h  2
 167  5.9118184e-03 1.60e-03 3.73e-01  -4.0 5.61e-02    -  1.00e+00 1.00e+00h  1
 168  5.9311344e-03 1.29e-03 3.03e-01  -4.1 3.42e-02    -  1.00e+00 1.00e+00h  1
 169  5.7343094e-03 5.11e-04 3.31e-02  -4.1 2.04e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  5.9808388e-03 5.04e-04 3.29e-02  -4.0 1.59e-02    -  1.00e+00 1.00e+00h  1
 171  5.7498531e-03 2.08e-04 3.91e-02  -4.1 8.01e-03    -  1.00e+00 1.00e+00h  1
 172  5.8666811e-03 4.63e-05 2.36e-02  -4.0 4.50e-03    -  1.00e+00 1.00e+00h  1
 173  5.8676057e-03 1.97e-05 2.78e-02  -4.0 2.76e-03    -  1.00e+00 1.00e+00h  1
 174  5.8677797e-03 1.91e-05 1.87e-02  -4.0 2.02e-03    -  1.00e+00 1.00e+00h  1
 175  5.8647193e-03 3.65e-06 1.76e-02  -4.0 1.46e-03    -  1.00e+00 1.00e+00h  1
 176  5.8595624e-03 8.61e-06 2.53e-02  -4.0 2.11e-03    -  1.00e+00 1.00e+00h  1
 177  5.8604527e-03 3.49e-05 5.82e-02  -4.0 3.30e-03    -  1.00e+00 1.00e+00h  1
 178  5.7195909e-03 6.89e-05 1.15e-01  -4.1 7.88e-03    -  1.00e+00 1.00e+00h  1
 179  5.8220699e-03 1.90e-05 7.88e-02  -4.0 3.65e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  5.8397524e-03 3.41e-05 8.45e-03  -4.0 2.13e-03    -  1.00e+00 1.00e+00h  1
 181  5.8368612e-03 3.67e-06 1.46e-02  -4.0 1.91e-03    -  1.00e+00 1.00e+00h  1
 182  5.8150717e-03 8.14e-05 1.46e-01  -4.0 1.12e-02    -  1.00e+00 1.00e+00h  1
 183  5.6322955e-03 4.40e-04 5.02e-01  -4.1 3.19e-02    -  1.00e+00 1.00e+00h  1
 184  5.8664778e-03 2.04e-03 9.84e-01  -4.0 6.53e-02    -  1.00e+00 1.00e+00h  1
 185  5.7109498e-03 8.79e-04 4.19e-01  -4.1 2.37e-02    -  1.00e+00 1.00e+00h  1
 186  5.8670685e-03 1.01e-03 1.10e-01  -4.1 2.79e-02    -  1.00e+00 1.00e+00h  1
 187  5.6015488e-03 5.10e-04 2.89e-02  -4.1 1.81e-02    -  1.00e+00 1.00e+00h  1
 188  5.7420692e-03 4.02e-04 6.79e-02  -4.0 1.05e-02    -  1.00e+00 1.00e+00h  1
 189  5.6089457e-03 5.05e-05 2.71e-02  -4.1 6.95e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  5.7241242e-03 2.79e-05 3.97e-02  -4.0 4.82e-03    -  1.00e+00 1.00e+00h  1
 191  5.7514574e-03 3.08e-05 2.68e-02  -4.0 2.90e-03    -  1.00e+00 1.00e+00h  1
 192  5.7525705e-03 1.29e-05 1.48e-02  -4.0 2.51e-03    -  1.00e+00 1.00e+00h  1
 193  5.7518769e-03 3.61e-06 6.39e-03  -4.0 1.53e-03    -  1.00e+00 1.00e+00h  1
 194  5.7555746e-03 1.17e-06 3.29e-03  -4.0 4.43e-04    -  1.00e+00 1.00e+00h  1
 195  5.7561490e-03 3.42e-06 1.06e-02  -4.0 1.20e-03    -  1.00e+00 1.00e+00h  1
 196  5.6269889e-03 2.22e-05 3.14e-02  -4.1 3.38e-03    -  1.00e+00 1.00e+00h  1
 197  5.7513477e-03 1.22e-05 1.92e-02  -4.0 2.63e-03    -  1.00e+00 1.00e+00h  1
 198  5.7607450e-03 5.79e-06 9.27e-03  -4.0 2.01e-03    -  1.00e+00 1.00e+00h  1
 199  5.6410333e-03 6.10e-06 1.16e-02  -4.1 1.54e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  5.7626433e-03 6.96e-06 1.11e-02  -4.0 1.60e-03    -  1.00e+00 1.00e+00h  1
 201  5.6272497e-03 2.10e-05 1.84e-02  -4.1 2.13e-03    -  1.00e+00 1.00e+00h  1
 202  5.7726049e-03 2.27e-05 2.74e-02  -4.0 3.38e-03    -  1.00e+00 1.00e+00h  1
 203  5.6213800e-03 1.98e-05 1.90e-02  -4.1 2.48e-03    -  1.00e+00 1.00e+00h  1
 204  5.7664296e-03 4.22e-05 2.34e-02  -4.0 3.02e-03    -  1.00e+00 1.00e+00h  1
 205  5.6216091e-03 3.02e-05 6.59e-03  -4.1 3.18e-03    -  1.00e+00 1.00e+00h  1
 206  5.6185009e-03 1.09e-05 1.71e-02  -4.1 2.55e-03    -  1.00e+00 1.00e+00h  1
