This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    23692
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      387
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      338
                     variables with only upper bounds:        0
Total number of equality constraints.................:      306
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 131  9.8649342e-02 5.17e-02 7.81e-01  -3.4 1.96e-01    -  1.00e+00 5.00e-01h  2
 132  9.8279606e-02 8.02e-02 3.69e-01  -3.1 4.16e-01    -  1.00e+00 5.00e-01h  2
 133  9.4201245e-02 9.85e-02 2.75e-01  -3.5 2.53e-01    -  1.00e+00 5.00e-01h  2
 134  8.9817064e-02 8.49e-02 1.72e-01  -3.2 4.35e-01    -  1.00e+00 5.00e-01h  2
 135  9.0797420e-02 8.70e-02 1.00e+02  -3.0 6.23e-01    -  1.00e+00 2.50e-01h  3
 136  9.2196573e-02 1.01e-01 2.66e+01  -3.2 2.66e-01    -  1.00e+00 1.00e+00h  1
 137  1.0217012e-01 8.25e-02 2.30e+01  -3.3 1.87e-01    -  5.73e-01 1.00e+00H  1
 138  8.6432474e-02 9.16e-02 1.39e+01  -3.3 1.22e-01    -  5.86e-01 1.00e+00h  1
 139  8.5647194e-02 5.15e-02 1.75e+01  -3.5 5.47e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  8.3025787e-02 2.93e-02 1.41e+01  -3.7 3.89e-02    -  1.00e+00 1.00e+00h  1
 141  8.3210334e-02 1.81e-02 5.03e+00  -3.8 4.68e-02    -  1.00e+00 1.00e+00h  1
 142  8.2051366e-02 9.60e-03 6.50e-01  -4.0 3.07e-02    -  1.00e+00 1.00e+00h  1
 143  8.1727046e-02 1.99e-02 1.69e-01  -4.0 3.28e-02    -  1.00e+00 1.00e+00h  1
 144  8.0850559e-02 1.57e-02 1.34e-01  -4.0 1.95e-02    -  1.00e+00 1.00e+00h  1
 145  8.0438155e-02 8.12e-03 1.30e-01  -4.0 3.40e-02    -  1.00e+00 1.00e+00h  1
 146  8.0057145e-02 1.52e-02 1.46e-01  -4.0 6.34e-02    -  1.00e+00 1.00e+00h  1
 147  8.1592169e-02 1.10e-02 1.34e+00  -4.0 1.27e-01    -  1.00e+00 1.00e+00H  1
 148  8.0155690e-02 4.27e-02 1.32e+00  -4.1 6.58e-02    -  5.09e-01 1.00e+00H  1
 149  7.8792240e-02 2.45e-02 4.06e-01  -4.1 3.84e-02    -  7.92e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  7.8605062e-02 7.71e-03 5.71e-02  -4.0 2.52e-02    -  1.00e+00 1.00e+00h  1
 151  7.7857244e-02 8.24e-03 1.24e-01  -4.0 2.15e-02    -  1.00e+00 1.00e+00h  1
 152  7.7558949e-02 3.74e-03 1.34e-01  -4.0 3.18e-02    -  1.00e+00 1.00e+00h  1
 153  7.7056046e-02 5.34e-03 2.98e-01  -4.0 3.79e-02    -  1.00e+00 1.00e+00h  1
 154  7.6634610e-02 1.11e-02 4.87e-01  -4.0 1.14e-01    -  1.00e+00 2.50e-01h  3
 155  7.6425008e-02 8.19e-03 5.34e-01  -4.0 9.15e-02    -  1.00e+00 2.50e-01h  3
 156  7.6708704e-02 3.17e-03 3.37e-01  -4.0 7.69e-02    -  1.00e+00 1.00e+00H  1
 157  7.6554360e-02 5.26e-02 5.21e-01  -4.0 9.41e-02    -  1.00e+00 1.00e+00h  1
 158  7.5851451e-02 5.17e-02 5.46e-01  -4.1 2.47e-01    -  2.90e-01 1.09e-01h  3
 159  7.5207946e-02 2.19e-02 1.43e-01  -4.0 3.04e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  7.6926299e-02 1.26e-02 3.47e-01  -4.0 7.33e-02    -  1.00e+00 1.00e+00H  1
 161  7.4906440e-02 4.35e-02 1.01e+00  -4.1 6.53e-02    -  1.00e+00 1.00e+00h  1
 162  8.0048140e-02 2.02e-02 1.70e-01  -3.7 6.45e-02    -  1.00e+00 7.72e-01H  1
 163  7.5374225e-02 2.85e-02 1.58e-01  -3.8 5.08e-02    -  2.72e-01 1.00e+00h  1
 164  7.5013584e-02 1.94e-02 5.35e-02  -3.8 2.98e-02    -  1.00e+00 1.00e+00h  1
 165  7.4258074e-02 2.63e-03 2.15e-01  -4.0 1.77e-02    -  1.00e+00 1.00e+00h  1
 166  7.4275694e-02 3.77e-04 1.22e-01  -4.0 1.44e-02    -  1.00e+00 1.00e+00h  1
 167  7.4174950e-02 1.04e-02 1.70e-01  -4.0 4.43e-02    -  1.00e+00 1.00e+00h  1
