This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1016894
Number of nonzeros in inequality constraint Jacobian.:       12
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3259
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      808
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 129  1.1900902e-02 1.11e-03 1.72e-02  -4.0 1.09e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.1895277e-02 1.33e-03 4.08e-02  -4.0 2.42e-01    -  1.00e+00 5.00e-01h  2
 131  1.1874793e-02 6.41e-03 1.41e-02  -4.0 3.40e-01    -  1.00e+00 1.00e+00h  1
 132  1.1930991e-02 1.19e-02 6.94e-02  -4.0 1.35e+00    -  1.00e+00 2.50e-01h  3
 133  1.1791445e-02 1.24e-02 5.01e-01  -4.1 6.74e-01    -  1.00e+00 5.00e-01h  2
 134  1.1781220e-02 1.77e-02 3.66e-01  -4.0 1.41e+00    -  1.00e+00 2.50e-01h  3
 135  1.1771278e-02 2.23e-02 2.88e-01  -4.0 1.31e+00    -  1.00e+00 2.50e-01h  3
 136  1.1830087e-02 3.97e-02 1.20e-01  -4.0 1.25e+00    -  1.00e+00 5.00e-01h  2
 137  1.1649677e-02 3.90e-02 7.78e-01  -4.1 2.11e+00    -  1.00e+00 1.25e-01h  4
 138  1.2806057e-02 3.75e-02 3.69e-02  -4.0 5.43e-01    -  1.00e+00 1.00e+00h  1
 139  1.2545644e-02 3.59e-02 2.46e-02  -4.1 6.63e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.1130218e-02 1.70e-02 8.50e-03  -4.1 4.50e-01    -  1.00e+00 1.00e+00h  1
 141  1.1308624e-02 5.76e-03 2.46e-02  -4.0 2.68e-01    -  1.00e+00 1.00e+00h  1
 142  1.1284415e-02 3.24e-03 3.09e-02  -4.0 1.70e-01    -  1.00e+00 1.00e+00h  1
 143  1.1246569e-02 9.12e-03 5.00e-02  -4.0 1.93e-01    -  1.00e+00 1.00e+00h  1
 144  1.1169238e-02 3.11e-03 4.16e-02  -4.0 1.27e-01    -  1.00e+00 1.00e+00h  1
 145  1.1206427e-02 9.69e-04 2.48e-02  -4.0 7.95e-02    -  1.00e+00 1.00e+00h  1
 146  1.1294095e-02 5.08e-04 4.70e-02  -4.0 9.30e-02    -  1.00e+00 1.00e+00H  1
 147  1.1239580e-02 1.92e-03 2.88e-02  -4.0 1.49e-01    -  1.00e+00 1.00e+00h  1
