This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   133925
Number of nonzeros in inequality constraint Jacobian.:      492
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      499
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      104
                     variables with only upper bounds:        0
Total number of equality constraints.................:      486
Total number of inequality constraints...............:       73
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       73

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 155  7.8694718e-01 1.02e+00 6.24e+08   2.1 3.85e+02    -  3.01e-02 4.20e-03f  4
 156  7.8305369e-01 1.02e+00 6.75e+08   2.1 2.84e+02    -  4.57e-02 2.60e-03f  5
 157  7.7812268e-01 1.02e+00 7.21e+08   2.1 2.05e+02    -  5.89e-02 3.25e-03f  5
 158  8.2095003e-01 1.09e+00 1.00e+09   2.1 1.29e+02    -  6.20e-04 3.41e-02f  2
 159  8.9309592e-01 2.12e+00 1.09e+09   2.1 4.05e+02    -  1.97e-04 1.59e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  9.7935838e-01 2.06e+00 9.55e+08   2.1 2.56e+01    -  2.53e-01 1.52e-01H  1
 161  1.1703761e+00 2.00e+00 1.12e+09   2.1 1.21e+02    -  2.86e-03 5.31e-02f  2
 162  1.3235270e+00 1.93e+00 1.16e+09   2.1 5.95e+01    -  7.70e-02 4.29e-02f  3
 163  1.4702333e+00 1.89e+00 1.19e+09   2.1 5.06e+01    -  3.62e-02 3.84e-02f  3
 164  1.6078372e+00 1.86e+00 1.22e+09   2.1 4.27e+01    -  1.70e-02 4.10e-02f  3
 165  1.7141865e+00 1.98e+00 1.34e+09   2.1 9.21e+02    -  8.61e-03 3.83e-03f  2
 166  1.7278187e+00 2.02e+00 1.39e+09   2.1 1.00e+03    -  7.12e-03 1.87e-03f  3
 167  1.7181250e+00 2.04e+00 1.41e+09   2.1 8.93e+02    -  8.83e-03 1.12e-03f  4
 168  1.7046261e+00 2.05e+00 1.41e+09   2.1 8.05e+02    -  1.11e-02 8.01e-04f  4
 169  1.6790927e+00 2.08e+00 1.42e+09   2.1 7.37e+02    -  1.35e-02 1.34e-03h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.6538852e+00 2.11e+00 1.42e+09   2.1 7.20e+02    -  8.55e-03 1.10e-03h  3
 171  1.6140776e+00 2.19e+00 1.41e+09   2.1 7.01e+02    -  2.16e-04 1.98e-03f  2
 172  1.5671389e+00 2.34e+00 1.39e+09   2.1 6.82e+02    -  1.02e-02 2.71e-03h  1
 173  1.5341646e+00 2.45e+00 1.36e+09   2.1 5.99e+02    -  5.01e-03 2.49e-03h  2
 174  1.5103357e+00 2.48e+00 1.34e+09   2.1 6.16e+02    -  1.19e-02 1.66e-03f  4
 175  1.4833198e+00 2.51e+00 1.31e+09   2.1 6.04e+02    -  2.25e-02 1.96e-03f  4
 176  1.4539660e+00 2.54e+00 1.26e+09   2.1 5.64e+02    -  1.70e-02 2.30e-03f  4
 177  1.4230949e+00 2.57e+00 1.21e+09   2.1 4.84e+02    -  6.58e-02 2.83e-03f  4
 178  1.3976606e+00 2.58e+00 1.17e+09   2.1 3.53e+02    -  2.67e-02 2.53e-03f  5
 179  1.3699900e+00 2.59e+00 1.13e+09   2.1 2.66e+02    -  1.46e-02 3.54e-03f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.3296249e+00 2.65e+00 1.04e+09   2.1 1.72e+02    -  1.39e-04 8.63e-03f  4
 181  1.3271345e+00 2.69e+00 9.48e+08   2.1 1.05e+02    -  6.98e-02 2.16e-02f  3
 182  1.2177023e+00 1.83e+00 9.13e+08   2.1 3.53e+02    -  2.15e-02 1.02e-02h  2
 183  1.3258402e+00 1.75e+00 8.25e+08   2.1 1.10e+03    -  2.88e-03 1.86e-03f  4
 184  1.4038109e+00 1.60e+00 6.19e+08   2.1 5.26e+01    -  3.24e-01 4.87e-02h  3
 185  1.4161843e+00 1.48e+00 3.07e+08   2.1 1.55e+01    -  3.33e-01 1.79e-01h  1
 186  1.4157948e+00 1.48e+00 3.06e+08   2.1 1.15e+01    -  3.27e-01 1.05e-03h  1
 187  1.3390024e+00 1.77e+00 5.33e+08   2.1 2.37e+02    -  1.53e-03 1.42e-02h  1
 188  1.3368707e+00 1.76e+00 5.33e+08   2.1 1.14e+01    -  1.76e-02 4.61e-03h  1
 189  1.3007768e+00 1.60e+00 5.95e+08   2.1 1.05e+01    -  3.11e-04 1.40e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.2975600e+00 1.58e+00 5.86e+08   2.1 1.71e+01    -  9.25e-02 1.30e-02h  1
 191  1.3291278e+00 1.62e+00 4.71e+08   2.1 7.67e+02    -  1.92e-03 1.53e-03f  4
 192  1.3377736e+00 1.62e+00 4.19e+08   2.1 1.98e+02    -  7.08e-04 3.51e-03f  5
