time_ns,g_eff,u_X1,u_Y1,u_X2,u_Y2
20.1,0.006283185307,3.274783358e-05,-4.108951208e-06,-3.072710816e-05,9.990830724e-07
20.15,0.006283185307,7.33535213e-05,-9.21280825e-06,-6.879457299e-05,2.188308396e-06
20.2,0.006283185307,0.0001298211858,-1.632084672e-05,-0.0001216944936,3.784319786e-06
20.25,0.006283185307,0.0002019314243,-2.541151199e-05,-0.0001891992563,5.747364896e-06
20.3,0.006283185307,0.000289464834,-3.646324939e-05,-0.0002710812476,8.037691383e-06
20.35,0.006283185307,0.0003922020119,-4.945450428e-05,-0.0003671128538,1.06155469e-05
20.4,0.006283185307,0.0005099235553,-6.436372203e-05,-0.0004770664616,1.344117911e-05
20.45,0.006283185307,0.0006424100613,-8.116934799e-05,-0.0006007144571,1.647483566e-05
20.5,0.006283185307,0.000789442127,-9.98498275e-05,-0.0007378292269,1.967676421e-05
20.55,0.006283185307,0.0009508003496,-0.0001203836059,-0.0008881831574,2.300721241e-05
20.6,0.006283185307,0.001126265326,-0.0001427491286,-0.001051548635,2.642642792e-05
20.65,0.006283185307,0.001315617654,-0.000166924841,-0.001227698046,2.98946584e-05
20.7,0.006283185307,0.001518637931,-0.0001928891883,-0.001416403777,3.337215149e-05
20.75,0.006283185307,0.001735106752,-0.0002206206159,-0.001617438215,3.681915487e-05
20.8,0.006283185307,0.001964804717,-0.0002500975692,-0.001830573745,4.019591617e-05
20.85,0.006283185307,0.002207512421,-0.0002812984936,-0.002055582755,4.346268306e-05
20.9,0.006283185307,0.002463010463,-0.0003142018344,-0.00229223763,4.657970319e-05
20.95,0.006283185307,0.002731079438,-0.0003487860369,-0.002540310757,4.950722422e-05
21,0.006283185307,0.003011499945,-0.0003850295465,-0.002799574523,5.220549381e-05
21.05,0.006283185307,0.00330405258,-0.0004229108086,-0.003069801313,5.46347596e-05
21.1,0.006283185307,0.003608517941,-0.0004624082685,-0.003350763515,5.675526925e-05
21.15,0.006283185307,0.003924676625,-0.0005035003716,-0.003642233515,5.852727043e-05
21.2,0.006283185307,0.004252309228,-0.0005461655632,-0.003943983699,5.991101078e-05
21.25,0.006283185307,0.004591196349,-0.0005903822887,-0.004255786453,6.086673796e-05
21.3,0.006283185307,0.004941118584,-0.0006361289934,-0.004577414165,6.135469963e-05
21.35,0.006283185307,0.00530185653,-0.0006833841227,-0.004908639219,6.133514344e-05
21.4,0.006283185307,0.005673190785,-0.0007321261219,-0.005249234004,6.076831704e-05
21.45,0.006283185307,0.006054901946,-0.0007823334365,-0.005598970905,5.96144681e-05
21.5,0.006283185307,0.006446770609,-0.0008339845117,-0.005957622309,5.783384427e-05
