This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1287
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 142  1.1003065e-03 4.29e-03 7.14e+01  -4.1 1.61e-01    -  1.00e+00 2.50e-01h  3
 143  1.1959260e-03 2.01e-03 7.02e+01  -4.1 7.18e-02    -  1.00e+00 1.00e+00h  1
 144  1.1198460e-03 1.44e-03 7.14e+01  -4.0 5.54e-02    -  1.00e+00 1.00e+00h  1
 145  1.0364912e-03 3.73e-03 7.00e+01  -4.1 3.35e-01    -  1.00e+00 2.50e-01h  3
 146  1.0093661e-03 2.67e-03 7.13e+01  -4.1 7.58e-02    -  1.00e+00 5.00e-01h  2
 147  1.0079193e-03 2.64e-03 7.13e+01  -4.0 4.44e-01    -  1.00e+00 3.12e-02h  6
 148  1.1343117e-03 1.71e-03 7.00e+01  -4.0 6.53e-02    -  1.00e+00 5.00e-01h  2
 149  1.1912592e-03 1.75e-03 7.01e+01  -4.1 7.94e-01    -  9.71e-01 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.1803522e-03 1.69e-03 7.01e+01  -4.1 4.37e-01    -  1.00e+00 6.25e-02h  5
 151  1.0673039e-03 1.46e-03 7.01e+01  -4.1 7.49e-01    -  1.00e+00 1.25e-01h  4
 152  1.2286821e-03 1.13e-03 7.13e+01  -4.1 1.19e-01    -  1.00e+00 5.00e-01h  2
 153  1.1165749e-03 1.23e-03 7.13e+01  -4.1 8.95e-02    -  1.00e+00 5.00e-01h  2
 154  1.1273319e-03 1.19e-03 7.02e+01  -4.1 8.41e-02    -  1.00e+00 5.00e-01h  2
 155  1.1502209e-03 8.92e-04 7.02e+01  -4.1 5.33e-02    -  1.00e+00 5.00e-01h  2
 156  1.0649003e-03 8.99e-04 7.13e+01  -3.8 3.13e+00    -  1.00e+00 1.00e-02h  7
 157  1.1095860e-03 5.71e-04 7.00e+01  -4.0 3.69e-02    -  1.00e+00 1.00e+00h  1
 158  1.1050527e-03 2.35e-04 7.14e+01  -4.0 2.01e-02    -  1.00e+00 1.00e+00h  1
 159  1.0943344e-03 1.56e-04 7.00e+01  -4.0 3.01e-02    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.1280675e-03 3.34e-04 7.14e+01  -4.0 2.00e-02    -  1.00e+00 1.00e+00H  1
 161  1.1160772e-03 3.37e-04 7.14e+01  -4.0 9.77e-02    -  1.00e+00 2.50e-01h  3
 162  1.1070236e-03 5.15e-04 7.01e+01  -4.1 5.86e-02    -  1.00e+00 5.00e-01h  2
 163  1.0209648e-03 2.10e-03 7.13e+01  -4.1 6.12e-02    -  1.00e+00 1.00e+00h  1
 164  1.0899822e-03 8.34e-04 7.01e+01  -4.0 6.83e-02    -  1.00e+00 5.00e-01h  2
 165  1.1342938e-03 7.09e-04 7.02e+01  -4.1 7.37e-02    -  1.00e+00 1.00e+00h  1
 166  1.1289122e-03 8.33e-04 7.13e+01  -4.1 7.12e-02    -  1.00e+00 5.00e-01h  2
 167  1.0967554e-03 6.66e-04 7.13e+01  -4.1 2.70e-01    -  1.00e+00 6.25e-02h  5
 168  1.0239456e-03 3.39e-03 7.01e+01  -4.1 3.22e-01    -  1.00e+00 2.50e-01h  3
 169  1.0465307e-03 3.44e-03 7.13e+01  -4.1 8.26e-01    -  1.00e+00 3.12e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.0673883e-03 7.55e-03 7.13e+01  -4.1 1.32e-01    -  1.00e+00 1.00e+00h  1
 171  1.0654490e-03 5.68e-03 7.02e+01  -4.1 4.23e-01    -  1.00e+00 1.25e-01h  4
 172  1.0221375e-03 5.69e-03 7.02e+01  -4.1 2.35e-01    -  1.00e+00 2.50e-01h  3
 173  1.0507007e-03 4.95e-03 7.13e+01  -4.1 2.53e-01    -  1.00e+00 1.25e-01h  4
 174  9.8807284e-04 4.45e-03 7.01e+01  -4.1 1.38e-01    -  1.00e+00 5.00e-01h  2
 175  1.1382626e-03 1.77e-03 7.13e+01  -4.0 1.09e-01    -  1.00e+00 5.00e-01h  2
 176  1.1883787e-03 2.76e-03 7.13e+01  -4.1 1.01e-01    -  1.00e+00 1.00e+00h  1
 177  1.6420170e-03 1.56e-03 7.02e+01  -4.1 2.30e-01    -  1.00e+00 1.00e+00H  1
 178  1.4239406e-03 1.36e-03 7.02e+01  -4.1 2.17e-01    -  1.00e+00 2.50e-01h  3
 179  1.2325999e-03 1.07e-03 7.13e+01  -4.1 7.90e-01    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.2244616e-03 1.64e-03 7.01e+01  -4.1 5.27e-02    -  1.00e+00 1.00e+00h  1
 181  1.1787925e-03 1.74e-03 7.01e+01  -4.1 3.66e-01    -  1.00e+00 6.25e-02h  5
 182  1.1172031e-03 1.17e-03 7.01e+01  -4.1 8.85e-02    -  1.00e+00 5.00e-01h  2
 183  1.1029875e-03 3.07e-03 7.13e+01  -4.1 1.36e-01    -  1.00e+00 5.00e-01h  2
 184  1.1019814e-03 3.78e-03 7.13e+01  -4.1 1.37e+00    -  1.00e+00 3.12e-02h  6
 185  1.0873367e-03 4.96e-03 7.13e+01  -4.1 2.30e-01    -  1.00e+00 2.50e-01h  3
 186  1.0858543e-03 5.88e-03 7.13e+01  -4.1 1.29e+00    -  1.00e+00 6.25e-02h  5
