epsilon,def_piccolo,tog_piccolo,var_piccolo,def_qt_unfilt,tog_qt_unfilt,var_qt_unfilt,def_qt_filt,tog_qt_filt,var_qt_filt
0.0132,0.04883309585929039,0.857257955909735,0.9755353369829068,0.22083247293702948,0.9259597324533725,0.9877110561587259,0.23722428164761733,0.9230499426250327,0.9903620482913325
0.0138,0.09344143296337137,0.8411824901499425,0.9715406067804204,0.3055617535361686,0.9171047689182881,0.9856551020621496,0.32255412370279657,0.9146736803209534,0.9886949385987767
0.0144,0.1499663964309672,0.8247907430644603,0.9670915533818767,0.3872996519123245,0.9081295536312218,0.9833739951565443,0.40456126922723484,0.9062946705430254,0.9868102121910616
0.015,0.21604742389016407,0.8082140625826003,0.9621487065878824,0.4646897626466181,0.8989806716425988,0.9809450483851035,0.4823995860871447,0.8978053122878409,0.9846972646384211
0.0156,0.28888144973939195,0.7915761027195889,0.9566684958613635,0.537317989630572,0.8897717521607114,0.9781301111965724,0.5550070343625714,0.8894372747655108,0.9823361417886822
0.0162,0.3653339635730357,0.7749885937585873,0.950602996316499,0.6043648447533452,0.8802056062507728,0.9750821920163544,0.6216456346358151,0.8810658306172678,0.9796954062067256
0.0168,0.44206944381362384,0.7585474670865716,0.943899756585779,0.6647555487861856,0.8709992718446353,0.9715581496675987,0.6814598859679499,0.8728305512998646,0.9768174603058732
0.0174,0.5156955322794514,0.7423294212691806,0.9365017253001745,0.7179093494341233,0.861685481088178,0.9676604346976425,0.7338155518784901,0.8647619076314413,0.9733069007314631
0.018,0.5829144014448117,0.7263889954074756,0.928347293299135,0.7634942318108353,0.8523625183598559,0.9635154245564992,0.7779624017945528,0.8569735741273499,0.9696281957337648
0.0186,0.6406741598066104,0.7107561984364427,0.9193704689278479,0.8003535492247481,0.8429552539083487,0.9588978533523622,0.8133683701412004,0.849482326047644,0.9654901587508862
0.0192,0.6863128856890048,0.6954347305005898,0.9095012038148441,0.8284613863761336,0.834039755206189,0.9537695443165033,0.8395242682032692,0.8421552825008094,0.9608605002522683
0.0198,0.717688001941948,0.6804008259365802,0.8986658862740212,0.8470351486403523,0.8248793795408706,0.9479142145574976,0.8561132421278864,0.8349170812260158,0.9557201422963668
0.0204,0.733284209580638,0.6656027469830449,0.8867880188505654,0.856246296342569,0.8158878866308329,0.9416200127824685,0.862802243668179,0.82785463585533,0.9499290778728829
0.021,0.732294073091461,0.6509609625355816,0.8737890954281168,0.8556833258214984,0.8069643922974266,0.9347942237556404,0.8594775050782371,0.8209063917757252,0.9435530212788856
0.0216,0.7146665590525019,0.6363690556196291,0.8595896916259937,0.8452304046731665,0.7977285156400932,0.9270761520146853,0.8462158491521019,0.8139074323781461,0.936285740721549
