This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1215565
Number of nonzeros in inequality constraint Jacobian.:     5312
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3879
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      824
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3726
Total number of inequality constraints...............:      553
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      553

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 132  1.8107734e+01 4.73e-01 8.82e+01  -1.1 5.00e+00    -  1.00e+00 1.00e+00h  1
 133  1.8566116e+01 4.64e-01 9.00e+01  -1.1 6.25e+00    -  1.00e+00 1.00e+00h  1
 134  1.8110333e+01 6.64e-02 2.83e+01  -1.1 3.48e+00    -  1.00e+00 1.00e+00h  1
 135  1.8291834e+01 7.76e-02 6.73e+01  -1.1 2.29e+00    -  1.00e+00 7.35e-01H  1
 136  1.8642794e+01 6.30e-02 3.42e+01  -1.1 2.05e+00    -  1.00e+00 1.00e+00f  1
 137  1.9016951e+01 3.01e-02 5.76e+01  -1.1 1.63e+00    -  1.00e+00 9.66e-01h  1
 138  1.8662988e+01 3.43e-02 5.10e+01  -1.8 1.89e+00    -  1.00e+00 1.00e+00h  1
 139  1.8339536e+01 3.07e-02 7.30e+01  -1.9 1.46e+00    -  8.11e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.8330082e+01 2.06e-02 7.67e+01  -2.0 1.14e+00    -  1.00e+00 1.00e+00h  1
 141  1.7993229e+01 1.84e-02 1.06e+02  -2.6 1.33e+00    -  1.00e+00 9.73e-01h  1
 142  1.6790439e+01 2.35e-01 2.79e+02  -2.4 7.22e+00    -  1.00e+00 6.19e-01h  1
 143  1.5624499e+01 2.12e-01 4.16e+02  -2.0 6.64e+00    -  1.00e+00 5.24e-01h  1
 144  1.4759896e+01 1.57e-01 3.50e+02  -2.1 7.49e+00    -  1.00e+00 4.38e-01h  1
 145  1.4567856e+01 7.79e-02 2.12e+02  -2.2 2.55e+00    -  1.00e+00 1.00e+00h  1
 146  1.6174660e+01 2.76e-01 5.74e+01  -1.5 7.20e+00    -  9.48e-01 7.25e-01f  1
 147  1.5220471e+01 3.25e-01 1.45e+02  -1.6 4.77e+00    -  1.00e+00 1.00e+00h  1
 148  1.4696355e+01 1.67e-01 1.19e+02  -1.6 2.96e+00    -  1.00e+00 1.00e+00h  1
 149  1.4413521e+01 1.22e-01 8.43e+01  -2.0 3.77e+00    -  1.00e+00 4.10e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
